"Entity","Year","DeathRate"
"Albania",2005,81.91079
"Antigua and Barbuda",2005,96.70364
"Antigua and Barbuda",2020,110.54134
"Argentina",2005,127.74961
"Argentina",2020,102.89489
"Armenia",2020,127.13761
"Australia",2020,96.51785
"Austria",2005,126.88228
"Austria",2020,103.42078
"Bahamas",2005,114.51464
"Bahrain",2005,66.90543
"Barbados",2005,125.67703
"Belgium",2005,133.25697
"Belize",2005,128.02719
"Bosnia and Herzegovina",2020,121.42646
"Brazil",2005,100.17541
"Brazil",2020,90.76003
"Brunei",2005,127.180756
"Bulgaria",2005,132.92325
"Bulgaria",2020,123.81476
"Canada",2005,131.90208
"Chile",2005,123.21657
"Chile",2020,98.88669
"Colombia",2005,94.57325
"Colombia",2020,81.47815
"Costa Rica",2005,94.57868
"Costa Rica",2020,86.60333
"Croatia",2005,163.25519
"Croatia",2020,142.09871
"Cuba",2005,131.32085
"Cuba",2020,126.90512
"Cyprus",2005,90.498474
"Cyprus",2020,95.1176
"Czechia",2005,166.0143
"Czechia",2020,123.05271
"Denmark",2005,157.7513
"Denmark",2020,118.056694
"Dominican Republic",2005,60.123363
"Ecuador",2005,79.40372
"Ecuador",2020,69.94774
"Egypt",2005,43.815716
"El Salvador",2005,73.979355
"Estonia",2005,148.8317
"Estonia",2020,124.52628
"Fiji",2005,91.53117
"Finland",2005,109.17647
"Finland",2020,94.683266
"France",2005,134.9738
"French Guiana",2005,107.8517
"Georgia",2005,75.42394
"Georgia",2020,127.64884
"Germany",2005,128.29051
"Germany",2020,109.288086
"Greece",2005,122.64236
"Greece",2020,112.145935
"Grenada",2005,132.57292
"Grenada",2020,138.03261
"Guadeloupe",2005,117.14073
"Guatemala",2005,89.77957
"Guatemala",2020,71.794014
"Guyana",2005,90.421364
"Hong Kong",2005,125.19995
"Hungary",2005,183.29652
"Iceland",2005,121.099174
"Iceland",2020,96.797745
"Ireland",2005,140.48964
"Israel",2005,116.72487
"Israel",2020,90.19306
"Italy",2005,128.17165
"Jamaica",2005,107.13901
"Japan",2005,113.64782
"Japan",2020,90.00182
"Kazakhstan",2005,133.7622
"Kazakhstan",2020,77.63786
"Kuwait",2005,82.28306
"Kyrgyzstan",2005,88.77175
"Latvia",2005,152.73413
"Latvia",2020,142.29803
"Lebanon",2020,49.74138
"Lithuania",2005,148.81349
"Lithuania",2020,135.19868
"Luxembourg",2005,119.02405
"Luxembourg",2020,85.09992
"Malaysia",2020,53.732143
"Malaysia",2005,40.894997
"Maldives",2005,20.595095
"Malta",2005,110.10802
"Martinique",2005,99.139046
"Mauritius",2005,78.547386
"Mauritius",2020,80.112
"Mexico",2005,79.94783
"Mexico",2020,71.432076
"Moldova",2005,126.25613
"Mongolia",2020,191.2919
"Montenegro",2005,122.78628
"Netherlands",2005,144.75742
"Netherlands",2020,113.45143
"New Zealand",2005,131.78186
"Nicaragua",2005,63.61182
"Nicaragua",2020,64.23542
"North Macedonia",2005,124.08051
"North Macedonia",2020,114.61658
"Norway",2005,126.904205
"Oman",2020,23.559307
"Panama",2005,85.54531
"Paraguay",2005,79.40921
"Paraguay",2020,80.78335
"Peru",2005,88.90487
"Peru",2020,78.68963
"Poland",2005,162.20111
"Poland",2020,132.0397
"Puerto Rico",2005,93.32615
"Qatar",2020,42.914085
"Qatar",2005,68.71917
"Reunion",2005,128.45667
"Romania",2005,139.73297
"Russia",2005,141.12346
"Saint Lucia",2005,111.8304
"Saint Lucia",2020,107.040436
"Saint Vincent and the Grenadines",2005,115.28565
"Saint Vincent and the Grenadines",2020,167.42465
"Serbia",2005,154.48238
"Serbia",2020,143.0582
"Seychelles",2005,147.39139
"Seychelles",2020,101.86966
"Singapore",2005,107.91326
"Singapore",2020,85.55541
"Slovakia",2005,161.1131
"Slovenia",2005,150.45032
"Slovenia",2020,128.77356
"South Africa",2005,115.524734
"South Korea",2005,127.06874
"South Korea",2020,83.280174
"Spain",2005,122.64864
"Spain",2020,99.58743
"Sri Lanka",2005,51.587055
"Suriname",2005,77.8022
"Sweden",2005,117.79451
"Switzerland",2005,111.683624
"Switzerland",2020,85.159
"Syria",2005,25.301632
"Tajikistan",2005,63.14578
"Thailand",2005,76.07113
"Trinidad and Tobago",2005,113.07017
"Turkmenistan",2005,61.40269
"Ukraine",2005,127.235466
"United Arab Emirates",2020,38.871925
"United Kingdom",2005,138.00128
"United Kingdom",2020,114.84977
"United States",2005,126.78566
"United States",2020,98.2412
"Uruguay",2005,150.89342
"Uruguay",2020,135.77309
"Uzbekistan",2005,61.146847
"Venezuela",2005,100.99654
